inner_code;name;name_eng;adm_code;iata;icao
КГР;Канготово; ;КЯ; ;UOTK
КЙЯ;Канкунский; ;СФ; ; 
КСК;Канск; ;КЯ; ;UNKN
КНЧ;Канчалан; ;ЧА; ; 
КДЕ;Караидель; ;БШ; ; 
КАР;Каракульское; ;ЧЛ; ; 
КРЭ;Карам; ;ИР; ; 
КАУ;Карасук; ;НБ; ; 
КТЗ;Карата; ;ДГ; ; 
КТЙ;Каратайка; ;АГ; ;ULDT
КЗС;Каратузское; ;КЯ; ;UNAK
КАЮ;Караул; ;КЯ; ; 
КХИ;Кара-Хаак; ;ТУ; ; 
КХЬ;Кара-Холь; ;ТУ; ; 
КХУ;Карахун; ;ИР; ; 
КЧК;Карачаевск; ;КЫ; ; 
КЯЯ;Караяр; ;БШ; ; 
КАС;Каргасок; ;ТЯ; ;UNLK
КГП;Каргополь; ;АГ; ;ULAR
КПС;Карпинск; ;СД; ; 
КПГ;Карпогоры; ;АГ; ;ULAP
КЛТ;Картаель; ;КИ; ; 
КРТ;Карталы; ;ЧЛ; ; 
КЫЮ;Карым-Кары; ;ТЮ; ; 
КЬЕ;Карьеполье; ;АГ; ;ULBP
КСМ;Касимов; ;РЯ; ; 
КАП;Каспийский; ;КЦ; ; 
ККГ;Катайга; ;ТЯ; ; 
КТЫ;Катырык; ;КЯ; ;UOHT
КАЧ;Качуг; ;ИР; ; 
КЭТ;Каэттын; ;ЧА; ; 
КВЗ;Квазеньга; ;АГ; ; 
КЕД;Кедва; ;КИ; ; 
КДД;Кедровый; ;ТЯ; ;UNCK
КЖМ;Кежма; ;КЯ; ;UNKE
КЗГ;Келлог; ;КЯ; ;UOTE
КРВ;Кемерово;Kemerovo;КЗ;KEJ;UNEE
КЕГ;Кенга; ;ТЯ; ; 
КПМ;Кепервеем; ;ЧА; ;UHMK
КЭР;Керос; ;ПМ; ; 
КЧФ;Керчевский; ;ПМ; ; 
КГЯ;Кесова Гора; ;ТИ; ;UUMK
КВЙ;Киевский; ;ТЯ; ; 
КЙВ;Киевский [УГЦ]; ;МС; ; 
КЗЕ;Кизильское; ;ЧЛ; ; 
КЮЗ;Кизилюрт; ;ДГ; ; 
КЛР;Кизляр; ;ДГ; ;URMF
КЕИ;Кикерино; ;ЛЕ; ; 
КНП;Кикнур; ;КП; ; 
КЛЫ;Килемары; ;МИ; ; 
КЕЗ;Кильмезь; ;КП; ; 
КИМ;Кимовск; ;ТЛ; ; 
КИЫ;Кимры; ;ТИ; ; 
КШМ;Кинешма; ;ИВ; ; 
КИП;Кипиево; ;КИ; ; 
КРН;Киренск; ;ИР; ;UIKK
КЯП;Кирзя; ;БШ; ; 
КЛЛ;Кириллов; ;ВЯ; ; 
КИО;Киров;Kirov;КП;KVX;USKK
КИЧ;Киров [УГЦ]; ;КЖ; ; 
КРК;Кировск;Kirovsk;МУ;KVK; 
КИЬ;Кирс; ;КП; ;USPI
КИА;Кирсантьево; ;КЯ; ;UNJW
КСВ;Кисловодск; ;СП; ;URMK
КСЮ;Кислокан; ;КЯ; ;UNHK
КЧГ;Кичменгский Городок; ;ВЯ; ;ULWK
КНЦ;Клинцы; ;БН; ; 
КЛЮ;Клюквинка; ;ТЯ; ; 
КЮИ;Ключи [ВСУ]; ;ИР; ; 
КЧИ;Ключи [КМЧ]; ;КЧ; ;UHPW
КЯЙ;Кобяй; ;СФ; ; 
КВД;Ковдор; ;МУ; ;ULMD
КРО;Ковров; ;ВЛ; ; 
КОГ;Когалым;Kogalym;ТЮ;KGP;USRK
КЗИ;Кодинск; ;КЯ; ;UNKI
КОЖ;Кожевниково; ;КЗ; ; 
КЗЛ;Козловка; ;ЧУ; ; 
КОЗ;Козыревск; ;КЧ; ;UHPO
КЗЯ;Козьмодемьянск; ;МИ; ; 
КГИ;Койгородок; ;КИ; ; 
КОД;Койда; ;АГ; ;ULBJ
КЙС;Койнас; ;АГ; ;ULJK
КМГ;Колмогорово; ;КЯ; ;UNJG
КЛВ;Кологрив; ;КФ; ; 
КОА;Колосовка; ;ОЯ; ; 
КЛШ;Колпашево; ;ТЯ; ;UNLL
КОЛ;Колывань; ;НБ; ; 
КВН;Колывань [АЛТАЙСКАЯ]; ;АЛ; ; 
КЫМ;Колымское; ;СФ; ; 
КЧН;Кольчугино; ;ВЛ; ; 
КМЛ;Комсомольск; ;КИ; ; 
КМЙ;Комсомольский; ;МГ; ; 
КМЩ;Комсомольский [ПРУ]; ;МД; ; 
